,Position,Edge,Path,Total
0,1182,308,259,1749
1,1181,308,259,1748
2,1183,308,259,1750
3,1200,317,263,1780
4,1197,320,266,1783
5,1199,320,262,1781
6,1197,319,262,1778
7,1200,320,263,1783
8,1201,311,257,1769
9,1201,311,260,1772
10,1201,310,260,1771
11,1201,312,261,1774
12,1196,301,256,1753
13,1196,300,256,1752
14,1198,298,256,1752
15,1198,297,256,1751
16,1196,297,257,1750
17,1195,297,255,1747
18,1196,294,255,1745
19,1195,294,255,1744
20,1191,294,255,1740
21,1190,294,255,1739
22,1187,296,255,1738
23,1184,297,255,1736
24,1184,299,255,1738
25,1187,297,254,1738
26,1188,297,254,1739
27,1191,305,239,1735
28,1193,303,239,1735
29,1191,303,239,1733
30,1189,304,239,1732
31,1192,304,238,1734
32,1189,297,232,1718
33,1184,302,232,1718
34,1180,300,232,1712
35,1178,300,232,1710
36,1178,299,232,1709
37,1182,296,232,1710
38,1184,294,231,1709
39,1181,295,231,1707
40,1181,294,231,1706
41,1179,291,216,1686
42,1179,290,215,1684
43,1178,288,215,1681
44,1178,285,215,1678
45,1177,285,215,1677
46,1174,287,215,1676
47,1155,285,216,1656
48,1155,285,216,1656
49,1157,281,216,1654
50,1155,280,213,1648
51,1155,278,212,1645
52,1154,278,212,1644
53,1150,278,212,1640
54,1151,276,212,1639
55,1151,275,212,1638
56,1150,273,211,1634
57,1146,276,221,1643
58,1144,277,221,1642
59,1140,275,220,1635
60,1140,274,220,1634
61,1138,276,220,1634
62,1138,276,220,1634
63,1138,276,220,1634
64,1136,277,220,1633
65,1132,276,227,1635
66,1129,278,226,1633
67,1113,276,220,1609
68,1107,275,221,1603
69,1102,278,222,1602
70,1098,279,222,1599
71,1097,279,222,1598
72,1093,282,226,1601
73,1092,281,226,1599
74,1087,277,226,1590
75,1089,278,227,1594
76,1092,277,227,1596
77,1090,278,227,1595
78,1095,275,227,1597
79,1094,272,228,1594
80,1097,267,227,1591
81,1096,267,227,1590
82,1095,270,225,1590
83,1088,269,230,1587
84,1086,272,229,1587
85,1080,274,229,1583
86,1079,274,229,1582
87,1077,274,229,1580
88,1084,271,229,1584
89,1083,271,229,1583
90,1082,271,229,1582
91,1081,266,224,1571
92,1081,266,224,1571
93,1076,268,224,1568
94,1076,268,225,1569
95,1076,268,225,1569
96,1076,268,225,1569
97,1077,266,225,1568
98,1081,264,226,1571
99,1077,266,221,1564
100,1074,267,223,1564
101,1071,265,223,1559
102,1071,263,222,1556
103,1074,263,221,1558
104,1071,265,221,1557
105,1071,261,217,1549
106,1070,262,216,1548
107,1065,264,216,1545
108,1068,260,215,1543
109,1068,263,215,1546
110,1069,262,215,1546
111,1071,260,215,1546
112,1070,259,215,1544
113,1068,261,215,1544
114,1069,259,215,1543
115,1069,259,215,1543
116,1066,260,215,1541
117,1062,263,214,1539
118,1063,262,214,1539
119,1069,260,214,1543
120,1063,260,222,1545
121,1059,263,221,1543
122,1059,261,221,1541
123,1059,259,220,1538
124,1059,259,220,1538
125,1058,260,220,1538
126,1058,262,219,1539
127,1054,264,218,1536
128,1057,263,217,1537
129,1054,263,216,1533
130,1055,265,219,1539
131,1055,266,219,1540
132,1056,265,219,1540
133,1052,266,219,1537
134,1054,264,219,1537
135,1053,264,218,1535
136,1053,263,218,1534
137,1048,268,215,1531
138,1050,265,215,1530
139,1054,266,218,1538
140,1053,266,218,1537
141,1049,269,217,1535
142,1049,275,218,1542
143,1048,275,218,1541
144,1046,274,218,1538
145,1050,270,214,1534
146,1046,276,219,1541
147,1041,275,224,1540
148,1039,271,223,1533
149,1039,271,223,1533
150,1038,272,223,1533
151,1037,272,214,1523
152,1029,272,214,1515
153,1033,268,209,1510
154,1030,267,209,1506
155,1029,265,209,1503
156,1024,269,208,1501
157,1028,271,207,1506
158,1030,268,206,1504
159,1032,265,206,1503
160,1036,260,206,1502
161,1031,261,205,1497
162,1029,261,204,1494
163,1024,258,204,1486
164,1027,254,203,1484
165,1027,255,203,1485
