,Position,Edge,Path,Total
0,1679,430,77,2186
1,1677,429,77,2183
2,1673,423,77,2173
3,1675,422,74,2171
4,1671,418,74,2163
5,1673,418,74,2165
6,1671,420,74,2165
7,1671,417,75,2163
8,1665,416,75,2156
9,1658,417,75,2150
10,1656,412,74,2142
11,1654,412,73,2139
12,1656,408,73,2137
13,1656,407,71,2134
14,1655,406,73,2134
15,1659,407,71,2137
16,1650,407,72,2129
17,1648,406,72,2126
18,1647,407,72,2126
19,1645,404,72,2121
20,1644,402,72,2118
21,1642,404,72,2118
22,1643,404,72,2119
23,1640,404,73,2117
24,1644,402,75,2121
25,1654,403,76,2133
26,1654,404,78,2136
27,1648,404,78,2130
28,1646,404,78,2128
29,1644,405,78,2127
30,1641,404,78,2123
31,1639,403,79,2121
32,1636,399,80,2115
33,1634,398,80,2112
34,1631,396,79,2106
35,1629,393,79,2101
36,1633,391,80,2104
37,1633,387,79,2099
38,1631,386,79,2096
39,1628,379,79,2086
40,1628,378,79,2085
41,1632,376,78,2086
42,1633,376,79,2088
43,1632,375,79,2086
44,1631,380,79,2090
45,1630,380,78,2088
46,1626,378,79,2083
47,1623,376,78,2077
48,1623,377,78,2078
49,1624,375,77,2076
50,1621,379,77,2077
51,1622,375,77,2074
52,1621,374,77,2072
53,1616,374,77,2067
54,1622,376,75,2073
55,1626,374,75,2075
56,1621,373,77,2071
57,1616,374,78,2068
58,1614,371,78,2063
59,1614,371,77,2062
60,1619,372,77,2068
61,1624,371,76,2071
62,1619,369,76,2064
63,1615,368,76,2059
64,1609,370,75,2054
65,1605,368,75,2048
66,1603,366,75,2044
67,1604,365,73,2042
68,1605,362,72,2039
69,1602,365,72,2039
70,1601,358,74,2033
71,1599,360,73,2032
72,1596,360,73,2029
73,1591,356,74,2021
74,1592,359,74,2025
75,1587,356,74,2017
76,1586,354,74,2014
77,1586,355,74,2015
78,1588,353,74,2015
79,1592,356,73,2021
80,1592,352,73,2017
81,1591,352,73,2016
82,1591,356,75,2022
83,1593,356,73,2022
84,1590,357,73,2020
85,1586,362,71,2019
86,1585,363,70,2018
87,1582,363,68,2013
88,1585,363,68,2016
89,1582,360,68,2010
90,1586,360,66,2012
91,1584,360,66,2010
92,1581,360,66,2007
93,1580,357,66,2003
94,1586,356,63,2005
95,1592,354,62,2008
96,1588,354,61,2003
97,1587,354,62,2003
98,1586,352,61,1999
99,1581,356,60,1997
100,1581,356,59,1996
101,1581,357,59,1997
102,1581,354,58,1993
103,1578,349,58,1985
104,1567,352,60,1979
105,1562,347,63,1972
106,1560,348,63,1971
107,1552,353,61,1966
108,1556,351,58,1965
109,1548,352,58,1958
110,1537,352,58,1947
111,1533,349,58,1940
112,1533,345,58,1936
113,1535,342,57,1934
114,1530,344,56,1930
115,1530,343,56,1929
116,1527,343,56,1926
117,1521,347,56,1924
118,1518,349,57,1924
119,1513,346,57,1916
120,1512,346,57,1915
121,1504,344,57,1905
122,1504,343,56,1903
123,1506,341,56,1903
124,1501,342,56,1899
125,1497,339,56,1892
126,1500,339,56,1895
127,1497,340,56,1893
128,1495,341,56,1892
129,1490,343,56,1889
130,1489,345,56,1890
131,1488,344,56,1888
132,1483,336,56,1875
133,1482,338,55,1875
134,1479,336,55,1870
135,1473,336,56,1865
136,1471,336,56,1863
137,1471,332,57,1860
138,1468,329,58,1855
139,1468,327,58,1853
140,1464,326,58,1848
141,1461,324,58,1843
142,1454,324,57,1835
143,1452,322,57,1831
144,1452,322,57,1831
145,1443,321,58,1822
146,1436,324,58,1818
147,1435,322,58,1815
148,1429,320,59,1808
149,1431,320,58,1809
150,1431,318,58,1807
151,1434,317,58,1809
152,1433,316,58,1807
153,1436,313,56,1805
154,1431,311,56,1798
155,1429,313,55,1797
156,1428,313,55,1796
157,1430,312,55,1797
158,1434,311,56,1801
159,1432,310,56,1798
160,1426,306,56,1788
161,1425,307,56,1788
162,1422,307,57,1786
163,1421,306,56,1783
164,1413,306,59,1778
165,1412,304,59,1775
166,1406,303,59,1768
167,1398,304,59,1761
168,1393,304,59,1756
169,1390,305,59,1754
170,1385,306,58,1749
171,1384,305,58,1747
172,1381,307,58,1746
173,1377,313,58,1748
174,1374,313,58,1745
175,1371,312,58,1741
176,1373,308,56,1737
177,1369,309,56,1734
178,1372,308,56,1736
179,1375,305,56,1736
180,1374,304,56,1734
181,1370,302,56,1728
182,1373,300,56,1729
183,1370,300,56,1726
184,1371,301,56,1728
185,1367,302,56,1725
186,1368,299,56,1723
187,1360,299,56,1715
188,1360,301,56,1717
189,1362,299,55,1716
190,1355,299,54,1708
191,1350,299,55,1704
192,1347,300,55,1702
193,1346,297,54,1697
194,1347,292,54,1693
195,1346,291,54,1691
196,1343,295,54,1692
197,1341,294,54,1689
198,1336,296,54,1686
199,1337,291,54,1682
200,1334,289,54,1677
201,1332,290,53,1675
202,1328,287,53,1668
203,1326,287,53,1666
204,1324,292,51,1667
205,1323,290,51,1664
206,1318,289,51,1658
207,1319,288,51,1658
208,1318,286,51,1655
209,1316,289,53,1658
210,1315,288,54,1657
211,1313,286,52,1651
212,1309,283,52,1644
213,1304,281,54,1639
214,1305,278,54,1637
215,1303,278,54,1635
216,1300,276,54,1630
217,1302,274,54,1630
218,1300,277,53,1630
219,1297,277,52,1626
220,1297,275,51,1623
221,1291,276,51,1618
222,1292,278,51,1621
223,1291,274,52,1617
224,1292,273,51,1616
225,1288,269,49,1606
226,1287,268,49,1604
227,1288,266,48,1602
228,1285,265,49,1599
229,1286,264,49,1599
230,1286,266,49,1601
231,1285,267,48,1600
232,1286,266,48,1600
233,1287,263,48,1598
234,1287,260,48,1595
235,1290,258,48,1596
236,1293,258,47,1598
237,1292,259,47,1598
238,1295,257,45,1597
239,1294,256,44,1594
240,1295,250,44,1589
241,1297,249,44,1590
242,1285,247,45,1577
243,1285,246,45,1576
244,1288,244,46,1578
245,1287,242,45,1574
246,1283,241,45,1569
247,1281,239,46,1566
248,1282,239,47,1568
249,1278,237,47,1562
250,1277,238,47,1562
251,1275,236,47,1558
252,1272,234,46,1552
253,1271,234,46,1551
254,1272,239,46,1557
255,1270,238,46,1554
256,1269,238,46,1553
257,1267,236,45,1548
258,1265,233,45,1543
259,1266,234,43,1543
260,1260,232,43,1535
261,1257,233,43,1533
262,1254,232,43,1529
263,1257,231,40,1528
264,1249,234,39,1522
265,1243,233,39,1515
266,1229,235,39,1503
267,1221,235,38,1494
268,1219,235,38,1492
269,1216,235,38,1489
270,1218,234,38,1490
271,1219,231,36,1486
272,1216,229,35,1480
273,1220,228,33,1481
274,1214,228,33,1475
275,1213,227,33,1473
276,1215,225,32,1472
277,1214,223,32,1469
278,1213,224,32,1469
279,1208,224,32,1464
280,1210,225,32,1467
281,1201,221,31,1453
282,1201,221,30,1452
283,1200,221,30,1451
284,1197,218,29,1444
285,1196,215,29,1440
286,1194,214,27,1435
287,1192,213,27,1432
288,1191,216,27,1434
289,1188,217,27,1432
290,1187,218,26,1431
291,1191,219,26,1436
292,1189,217,25,1431
293,1180,213,25,1418
294,1179,210,24,1413
295,1174,213,24,1411
296,1170,215,24,1409
297,1160,215,25,1400
298,1158,216,26,1400
299,1156,217,23,1396
300,1153,216,23,1392
301,1151,216,23,1390
302,1141,214,23,1378
303,1139,212,23,1374
304,1135,211,22,1368
305,1130,209,22,1361
306,1131,209,22,1362
307,1120,208,22,1350
308,1127,206,20,1353
309,1124,206,20,1350
310,1125,205,20,1350
311,1132,205,20,1357
312,1131,206,20,1357
313,1128,205,20,1353
314,1126,204,19,1349
315,1123,207,19,1349
316,1124,207,19,1350
317,1125,207,19,1351
318,1124,206,19,1349
319,1121,205,19,1345
320,1121,204,21,1346
321,1113,202,21,1336
322,1109,199,21,1329
323,1108,199,21,1328
324,1109,198,20,1327
325,1105,200,20,1325
326,1105,197,20,1322
327,1109,194,19,1322
328,1104,195,19,1318
329,1102,195,19,1316
330,1100,196,19,1315
331,1103,197,19,1319
332,1100,197,19,1316
333,1096,193,19,1308
334,1094,196,19,1309
335,1098,195,19,1312
336,1101,193,19,1313
337,1100,191,19,1310
338,1101,189,19,1309
339,1099,189,19,1307
340,1097,191,18,1306
341,1095,192,18,1305
342,1093,192,18,1303
343,1091,193,19,1303
344,1091,192,19,1302
345,1089,192,19,1300
