,Position,Edge,Path,Total
0,66,22,1,89
1,62,22,1,85
2,60,21,1,82
3,59,21,1,81
4,56,22,1,79
5,56,22,1,79
6,60,18,1,79
7,56,19,1,76
8,56,19,1,76
9,56,17,1,74
10,55,15,1,71
11,56,14,1,71
12,55,14,1,70
13,55,13,1,69
14,55,13,1,69
15,55,12,1,68
16,54,13,1,68
17,52,14,2,68
18,51,12,2,65
19,52,11,2,65
20,50,12,2,64
21,46,11,2,59
22,46,11,1,58
23,44,12,1,57
24,41,13,1,55
25,41,12,1,54
26,39,11,1,51
27,38,11,1,50
28,38,10,1,49
29,38,10,1,49
30,39,8,0,47
31,38,8,0,46
32,37,7,0,44
33,36,7,0,43
34,34,8,0,42
35,35,7,0,42
36,34,6,0,40
37,32,6,0,38
38,32,5,0,37
39,29,4,0,33
40,28,3,0,31
41,28,2,0,30
42,27,2,0,29
43,26,3,0,29
44,22,3,0,25
45,21,3,0,24
46,19,3,0,22
47,18,3,0,21
48,16,3,0,19
49,15,3,0,18
50,14,3,0,17
51,13,3,0,16
52,13,2,0,15
53,14,1,0,15
54,13,1,0,14
55,12,1,0,13
56,11,1,0,12
57,10,1,0,11
58,9,1,0,10
59,7,1,0,8
60,6,1,0,7
61,6,0,0,6
62,5,0,0,5
63,4,0,0,4
64,3,0,0,3
65,2,0,0,2
66,1,0,0,1
67,0,0,0,0
