,Position,Edge,Path,Total
0,736,560,205,1501
1,735,560,205,1500
2,739,560,201,1500
3,747,561,199,1507
4,738,558,199,1495
5,738,559,199,1496
6,720,557,199,1476
7,719,557,200,1476
8,718,552,197,1467
9,717,543,199,1459
10,719,543,198,1460
11,734,545,193,1472
12,728,544,195,1467
13,730,540,194,1464
14,730,540,195,1465
15,728,543,195,1466
16,710,533,194,1437
17,709,532,194,1435
18,697,540,195,1432
19,686,539,197,1422
20,700,550,189,1439
21,715,560,187,1462
22,716,556,187,1459
23,707,554,189,1450
24,701,546,192,1439
25,700,547,190,1437
26,705,551,188,1444
27,686,541,187,1414
28,684,537,188,1409
29,687,536,189,1412
30,684,535,189,1408
31,680,536,189,1405
32,681,533,189,1403
33,688,542,184,1414
34,704,548,180,1432
35,696,538,183,1417
36,687,539,184,1410
37,685,539,184,1408
38,686,547,181,1414
39,670,546,183,1399
40,670,539,182,1391
41,675,540,182,1397
42,680,540,183,1403
43,680,538,180,1398
44,714,557,174,1445
45,709,553,173,1435
46,707,552,170,1429
47,704,546,176,1426
48,695,548,176,1419
49,692,548,173,1413
50,685,538,168,1391
51,685,541,162,1388
52,686,533,165,1384
53,679,533,167,1379
54,675,534,166,1375
55,675,532,166,1373
56,668,530,164,1362
57,645,517,167,1329
58,631,509,167,1307
59,626,512,166,1304
60,622,508,167,1297
61,614,508,168,1290
62,618,511,167,1296
63,614,512,167,1293
64,621,511,161,1293
65,627,520,154,1301
66,651,531,150,1332
67,655,527,149,1331
68,654,530,149,1333
69,659,538,148,1345
70,670,543,145,1358
71,670,536,143,1349
72,669,535,143,1347
73,669,534,142,1345
74,667,533,142,1342
75,665,537,141,1343
76,662,542,141,1345
77,660,552,136,1348
78,679,548,135,1362
79,675,548,136,1359
80,681,545,135,1361
81,677,543,135,1355
82,672,542,135,1349
83,688,552,131,1371
84,677,543,135,1355
85,673,543,135,1351
86,661,538,134,1333
87,667,536,134,1337
88,666,534,133,1333
89,669,527,133,1329
90,663,521,133,1317
91,677,531,131,1339
92,679,528,131,1338
93,681,527,128,1336
94,665,523,131,1319
95,665,520,129,1314
