,Position,Edge,Path,Total
0,65,13,0,78
1,61,14,0,75
2,62,12,0,74
3,62,14,0,76
4,61,14,0,75
5,59,15,0,74
6,57,16,0,73
7,56,16,0,72
8,55,16,0,71
9,55,15,0,70
10,54,16,0,70
11,54,14,0,68
12,53,14,0,67
13,52,14,0,66
14,53,12,0,65
15,51,11,0,62
16,52,9,0,61
17,51,9,0,60
18,51,8,0,59
19,51,7,0,58
20,48,9,0,57
21,48,8,0,56
22,48,7,0,55
23,46,8,0,54
24,45,8,0,53
25,45,7,0,52
26,45,7,0,52
27,45,6,0,51
28,44,6,0,50
29,45,5,0,50
30,44,5,0,49
31,44,5,0,49
32,46,3,0,49
33,44,2,0,46
34,43,2,0,45
35,42,2,0,44
36,40,2,0,42
37,36,2,0,38
38,36,2,0,38
39,35,2,0,37
40,34,2,0,36
41,34,1,0,35
42,33,1,0,34
43,33,0,0,33
44,32,0,0,32
45,31,0,0,31
46,31,0,0,31
47,30,0,0,30
48,29,0,0,29
49,28,0,0,28
50,27,0,0,27
51,24,0,0,24
52,23,0,0,23
53,22,0,0,22
54,21,0,0,21
55,20,0,0,20
56,19,0,0,19
57,18,0,0,18
58,17,0,0,17
59,15,0,0,15
60,14,0,0,14
61,13,0,0,13
62,12,0,0,12
63,11,0,0,11
64,10,0,0,10
65,9,0,0,9
66,8,0,0,8
67,7,0,0,7
68,5,0,0,5
69,3,0,0,3
70,2,0,0,2
71,1,0,0,1
72,0,0,0,0
